r,method,rss,R2,adjR2,iter,conv,message,gamma,p_gamma,lambda,p_lambda,delta_KL,p_delta_KL,delta_VAE,p_delta_VAE,nu,p_nu,rho_KL,rho_VAE,sigma_KL,sigma_VAE,AIC_naive,BIC_naive,AICc_naive,AIC_plusRho,BIC_plusRho,AICc_plusRho,runtime,on_edge_KL,on_edge_VAE,valid,invalid_reason,dAICc,wAICc
Argentina,L-BFGS-B,0.00858189349617227,0.9884551110670612,0.98306749623169,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.01570678219462067,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.32561206817627,FALSE,FALSE,TRUE,NA,0,0.5
Argentina,L-BFGS-B,0.00858189349617227,0.9884551110670612,0.98306749623169,29,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9673929111458132,0.8679806582717075,2.54718590374435e-5,0.99317127680978,0.39193631723442585,0.01570678219462067,0.4683737238802886,0.08173235053585641,1.270975722619746,8.994551480385182e-5,-0.89,6,9.090909090909092,0.14285714285714285,-167.55268312687284,-159.6042236153688,-160.08601646020617,-163.55268312687284,-153.33323518351048,-149.706529280719,41.32561206817627,FALSE,FALSE,TRUE,NA,0,0.5
Australia and New Zealand,NM,0.00188209041828119,0.9974376791643256,0.996241929441011,297,TRUE,NA,0.03213702793701892,0.931847404455172,0.0016948044202878,0.7694663192993186,0.05236057754907534,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,92.9247419834137,FALSE,FALSE,TRUE,NA,0,0.27344706814796677
Australia and New Zealand,Nelder-Mead,0.00188209041828119,0.9974376791643256,0.996241929441011,297,TRUE,NA,0.03213702793701892,0.931847404455172,0.0016948044202878,0.7694663192993186,0.05236057754907534,0.11431162626631965,0.5519773445143754,0.3625075918118306,1.3386214600929802,1.8681664275416584e-5,-0.3899999999999999,46,1.6393442622950818,0.02127659574468085,-202.44992745718787,-194.50146794568383,-194.9832607905212,-198.44992745718787,-188.23047951382551,-184.60377361103403,87.63542103767395,FALSE,FALSE,TRUE,NA,0,0.27344706814796677
Australia and New Zealand,L-BFGS-B,0.00191313291292198,0.9973954172038816,0.99617994523236,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9288389131252326,0.927452683720026,3.300520325379034e-5,0.9951512260092108,0.01216558984969449,0.7450394446235957,0.8182135124878422,0.02475956944974024,1.4520179093599608,1.1253901945568212e-5,6,16,0.14285714285714285,0.0588235294117647,-202.07366854580383,-194.1252090342998,-194.60700187913716,-198.07366854580383,-187.85422060244147,-184.22751469965,47.94359803199768,FALSE,FALSE,TRUE,NA,0.376258911384042,0.2265529318520332
Australia and New Zealand,L-BFGS-B,0.00191313291292198,0.9973954172038816,0.99617994523236,37,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0.9288389131252326,0.927452683720026,3.300520325379034e-5,0.9951512260092108,0.01216558984969449,0.7450394446235957,0.8182135124878422,0.02475956944974024,1.4520179093599608,1.1253901945568212e-5,6,16,0.14285714285714285,0.0588235294117647,-202.07366854580383,-194.1252090342998,-194.60700187913716,-198.07366854580383,-187.85422060244147,-184.22751469965,47.94359803199768,FALSE,FALSE,TRUE,NA,0.376258911384042,0.2265529318520332
Brazil,NM,0.00451605574215689,0.992044048067037,0.988331270498321,451,TRUE,NA,0.06240610140903756,0.912775078567342,0.00138399637465792,0.759263965341692,0.301266553624706,2.896326658578796e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.3521019881764806e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,176.3847770690918,FALSE,FALSE,TRUE,NA,17.01487760266005,2.0187885833066688e-4
Brazil,Nelder-Mead,0.00451605574215689,0.992044048067037,0.988331270498321,451,TRUE,NA,0.06240610140903756,0.912775078567342,0.00138399637465792,0.759263965341692,0.301266553624706,2.896326658578796e-15,0.9482059029133802,6.4535859606656565e-18,1.2451440422869626,2.3521019881764806e-10,0.81,0.41000000000000014,0.5524861878453039,0.7092198581560283,-182.31904162514792,-174.37058211364388,-174.85237495848125,-178.31904162514792,-168.09959368178556,-164.47288777899408,179.00277090072632,FALSE,FALSE,TRUE,NA,17.01487760266005,2.0187885833066688e-4
Brazil,PORT,0.00215515296483347,0.9962032591324462,0.9944314467275878,3297,TRUE,relative convergence (4),26.49471438647288,0.8544903552237937,-0.00161275920818008,0.5500182569516097,0.27589620562870765,2.4406904797243145e-23,0.9971802149085828,0,1.41006581783607,1.78517016247437e-40,0.1100000000000001,12,0.9009009009009008,0.07692307692307693,-199.33391922780797,-191.38545971630393,-191.8672525611413,-195.33391922780797,-185.1144712844456,-181.48776538165413,3317.7076320648193,FALSE,FALSE,TRUE,NA,0,0.9995961312108871
Brazil,L-BFGS-B,0.00921232494640389,0.9837706134181992,0.9761968996800257,42,TRUE,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,1.0060844690443975,0.9369610905897854,1.0567622719417056e-5,0.9986520344700818,0.6260152491607847,1.1071488539607092e-4,0.8943349154680459,3.571617038773674e-15,0.9551495441401834,1.1458925044041362e-4,0.81,4,0.5524861878453039,0.2,-165.92226650444212,-157.97380699293808,-158.45559983777545,-161.92226650444212,-151.70281856107977,-148.07611265828828,46.80907607078552,FALSE,FALSE,TRUE,NA,33.41165272336585,5.55362257975049e-8
