rho1,rho,rss,convergence,r,method
-1,-1,0.008502833389236355,TRUE,Argentina,LM
0,-1,0.00837383021034601,TRUE,Argentina,LM
1,-1,0.00838483134418408,TRUE,Argentina,LM
-1,0,0.008250520821932766,TRUE,Argentina,LM
0,0,0.009264994171045845,TRUE,Argentina,LM
1,0,0.0077869681729887,TRUE,Argentina,LM
-1,1,0.008040446308388039,TRUE,Argentina,LM
0,1,0.010154994070369058,TRUE,Argentina,LM
1,1,0.008094383453972688,TRUE,Argentina,LM
-1,-1,0.009767924769912412,TRUE,Argentina,NM
0,-1,0.010281666415628029,TRUE,Argentina,NM
1,-1,0.014995368428851215,TRUE,Argentina,NM
-1,0,0.009110068261704888,TRUE,Argentina,NM
0,0,0.010840110308988037,TRUE,Argentina,NM
1,0,0.018451923924825617,TRUE,Argentina,NM
-1,1,0.00862491377685733,TRUE,Argentina,NM
0,1,0.011966968239801921,TRUE,Argentina,NM
1,1,0.022945206885519213,TRUE,Argentina,NM
-1,-1,0.009767924769912412,TRUE,Argentina,Nelder-Mead
0,-1,0.010281666415628029,TRUE,Argentina,Nelder-Mead
1,-1,0.014995368428851215,TRUE,Argentina,Nelder-Mead
-1,0,0.009110068261704888,TRUE,Argentina,Nelder-Mead
0,0,0.010840110308988037,TRUE,Argentina,Nelder-Mead
1,0,0.018451923924825617,TRUE,Argentina,Nelder-Mead
-1,1,0.00862491377685733,TRUE,Argentina,Nelder-Mead
0,1,0.011966968239801921,TRUE,Argentina,Nelder-Mead
1,1,0.022945206885519213,TRUE,Argentina,Nelder-Mead
-1,-1,0.1383650077828578,TRUE,Argentina,BFGS
0,-1,0.060581740902416165,TRUE,Argentina,BFGS
1,-1,0.165917526799241,TRUE,Argentina,BFGS
-1,0,0.06342031654715831,TRUE,Argentina,BFGS
0,0,0.15013188999039165,TRUE,Argentina,BFGS
1,0,0.173324737269544,TRUE,Argentina,BFGS
-1,1,0.13205479038740975,TRUE,Argentina,BFGS
0,1,0.06637160236999164,TRUE,Argentina,BFGS
1,1,0.058237490176349285,TRUE,Argentina,BFGS
-1,-1,0.008732578943362029,FALSE,Argentina,PORT
0,-1,0.04170277336318778,FALSE,Argentina,PORT
1,-1,0.008527460078296687,TRUE,Argentina,PORT
-1,0,0.008250520797356492,TRUE,Argentina,PORT
0,0,0.00935941385542555,TRUE,Argentina,PORT
1,0,0.009359413855426671,TRUE,Argentina,PORT
-1,1,0.008649467466133749,FALSE,Argentina,PORT
0,1,0.010154994060236419,TRUE,Argentina,PORT
1,1,0.011974584148699745,TRUE,Argentina,PORT
-1,-1,0.13170682448576218,TRUE,Argentina,CG
0,-1,0.14753829758407974,TRUE,Argentina,CG
1,-1,0.16637690479602465,TRUE,Argentina,CG
-1,0,0.13180480647307546,TRUE,Argentina,CG
0,0,0.14996785908612598,TRUE,Argentina,CG
1,0,0.17328888603786902,TRUE,Argentina,CG
-1,1,0.1319867106276105,TRUE,Argentina,CG
0,1,0.154058516650557,TRUE,Argentina,CG
1,1,0.18192741417786218,TRUE,Argentina,CG
-1,-1,0.018926196423915277,NA,Argentina,DE
0,-1,0.022150340137855443,NA,Argentina,DE
1,-1,0.024932250578441967,NA,Argentina,DE
-1,0,0.01981340063449172,NA,Argentina,DE
0,0,0.02219966463009145,NA,Argentina,DE
1,0,0.025582268530924827,NA,Argentina,DE
-1,1,0.019986048098298858,NA,Argentina,DE
0,1,0.02282370356193718,NA,Argentina,DE
1,1,0.026685234685344682,NA,Argentina,DE
-1,-1,2.0607477730817636,NA,Argentina,SANN
0,-1,2.053306316443022,NA,Argentina,SANN
1,-1,2.049760207868761,NA,Argentina,SANN
-1,0,2.107896572837173,NA,Argentina,SANN
0,0,2.068825704266799,NA,Argentina,SANN
1,0,2.061434969091491,NA,Argentina,SANN
-1,1,2.323810984227352,NA,Argentina,SANN
0,1,2.0962946110504896,NA,Argentina,SANN
1,1,2.07973097055744,NA,Argentina,SANN
-1,-1,0.0012469750400290291,TRUE,Australia and New Zealand,LM
0,-1,0.00112255055939691,TRUE,Australia and New Zealand,LM
1,-1,0.001015420692964547,TRUE,Australia and New Zealand,LM
-1,0,0.001201005044632728,TRUE,Australia and New Zealand,LM
0,0,0.0010814356372012112,FALSE,Australia and New Zealand,LM
1,0,9.789069772653937e-4,TRUE,Australia and New Zealand,LM
-1,1,0.0011607765315305011,TRUE,Australia and New Zealand,LM
0,1,0.001046066188419778,TRUE,Australia and New Zealand,LM
1,1,9.485748980536228e-4,TRUE,Australia and New Zealand,LM
-1,-1,0.07142377886761705,TRUE,Australia and New Zealand,NM
0,-1,0.0692061130598059,TRUE,Australia and New Zealand,NM
1,-1,0.0672010120720205,TRUE,Australia and New Zealand,NM
-1,0,0.0724329655684011,TRUE,Australia and New Zealand,NM
0,0,0.07019126618673395,TRUE,Australia and New Zealand,NM
1,0,0.06576495559124533,TRUE,Australia and New Zealand,NM
-1,1,0.07293883225101681,TRUE,Australia and New Zealand,NM
0,1,0.042939601809003525,TRUE,Australia and New Zealand,NM
1,1,0.06712250323684231,TRUE,Australia and New Zealand,NM
-1,-1,0.07142377886761705,TRUE,Australia and New Zealand,Nelder-Mead
0,-1,0.0692061130598059,TRUE,Australia and New Zealand,Nelder-Mead
1,-1,0.0672010120720205,TRUE,Australia and New Zealand,Nelder-Mead
-1,0,0.0724329655684011,TRUE,Australia and New Zealand,Nelder-Mead
0,0,0.07019126618673395,TRUE,Australia and New Zealand,Nelder-Mead
1,0,0.06576495559124533,TRUE,Australia and New Zealand,Nelder-Mead
-1,1,0.07293883225101681,TRUE,Australia and New Zealand,Nelder-Mead
0,1,0.042939601809003525,TRUE,Australia and New Zealand,Nelder-Mead
1,1,0.06712250323684231,TRUE,Australia and New Zealand,Nelder-Mead
-1,-1,0.0075375286161411086,TRUE,Australia and New Zealand,BFGS
